Datetime,Target
1689704400,777781
1689704460,570009
1689704520,469578
1689704580,570435
1689704640,523152
1689704700,1137117
1689704760,989868
1689704820,806820
1689704880,492163
1689704940,441688
1689705000,272710
1689705060,311093
1689705120,1189628
1689705180,318217
1689705240,268417
1689705300,431807
1689705360,283417
1689705420,311817
1689705480,205266
1689705540,312691
1689705600,621099
1689705660,234897
1689705720,239178
1689705780,270152
1689705840,237660
1689705900,279373
1689705960,721974
1689706020,1690990
1689706080,481858
1689706140,389477
1689706200,256158
1689706260,256284
1689706320,336508
1689706380,492160
1689706440,438237
1689706500,474652
1689706560,355026
1689706620,228782
1689706680,279608
1689706740,195694
1689706800,298000
1689706860,400188
1689706920,185819
1689706980,232484
1689707040,201628
1689707100,199360
1689707160,421939
1689707220,189494
1689707280,240921
1689707340,415319
1689707400,252674
1689707460,225887
1689707520,323323
1689707580,219802
1689707640,241961
1689707700,186722
1689707760,196964
1689707820,189132
1689707880,191726
1689707940,222215
1689708000,171183
1689708060,156308
1689708120,166178
1689708180,268694
1689708240,195098
1689708300,159206
1689708360,125996
1689708420,199079
1689708480,189792
1689708540,197659
1689708600,182949
1689708660,834645
1689708720,182526
1689708780,289291
1689708840,137511
1689708900,172123
1689708960,148621
1689709020,158815
1689709080,262944
1689709140,185352
1689709200,158043
1689709260,157934
1689709320,234352
1689709380,204897
1689709440,187404
1689709500,381259
1689709560,403374
1689709620,564568
1689709680,352608
1689709740,409480
1689709800,324405
1689709860,676068
1689709920,170577
1689709980,137559
1689710040,175187
1689710100,191543
1689710160,181620
1689710220,146432
1689710280,161111
1689710340,226400
1689710400,245369
1689710460,176533
1689710520,135601
1689710580,137684
1689710640,172810
1689710700,125320
1689710760,143135
1689710820,126205
1689710880,113047
1689710940,324809
1689711000,200963
1689711060,163434
1689711120,192354
1689711180,352709
1689711240,221843
1689711300,280177
1689711360,308891
1689711420,198836
1689711480,203546
1689711540,211068
1689711600,305749
1689711660,221801
1689711720,236948
1689711780,228354
1689711840,238398
1689711900,284482
1689711960,215806
1689712020,220205
1689712080,260287
1689712140,287012
1689712200,202273
1689712260,253747
1689712320,234475
1689712380,170384
1689712440,199973
1689712500,203315
1689712560,302666
1689712620,579866
1689712680,253123
1689712740,228952
1689712800,386579
1689712860,190821
1689712920,191221
1689712980,261480
1689713040,256695
1689713100,268786
1689713160,451029
1689713220,563949
1689713280,194846
1689713340,173856
1689713400,166228
1689713460,191286
1689713520,360748
1689713580,152424
1689713640,219979
1689713700,202997
1689713760,190158
1689713820,220494
1689713880,684601
1689713940,296533
1689714000,1296861
1689714060,147609
1689714120,498178
1689714180,289254
1689714240,1321651
1689714300,3140679
1689714360,1337611
1689714420,1871375
1689714480,5377749
1689714540,266226
1689714600,695146
1689714660,1469696
1689714720,304168
1689714780,228425
1689714840,640728
1689714900,1414902
1689714960,415157
1689715020,429273
1689715080,236456
1689715140,335737
1689715200,657620
1689715260,967132
1689715320,248698
1689715380,204157
